topology: 3 3
in: 11 241 2
out: 0 1 0
in: 85 229 192
out: 0 1 0
in: 4 173 205
out: 0 0 1
in: 35 114 89
out: 0 1 0
in: 28 5 171
out: 0 0 1
in: 226 145 121
out: 1 0 0
in: 212 69 191
out: 0 0 1
in: 119 223 215
out: 0 1 0
in: 106 8 108
out: 0 0 1
in: 26 229 51
out: 0 1 0
in: 47 66 234
out: 0 0 1
in: 115 235 79
out: 0 1 0
in: 62 191 86
out: 0 1 0
in: 47 213 199
out: 0 1 0
in: 208 219 198
out: 0 1 0
in: 231 161 151
out: 1 0 0
in: 245 168 223
out: 0 0 1
in: 208 224 235
out: 0 0 1
in: 62 205 147
out: 0 1 0
in: 221 23 16
out: 1 0 0
in: 43 246 243
out: 0 1 0
in: 36 218 14
out: 0 1 0
in: 50 1 59
out: 0 0 1
in: 117 223 236
out: 0 0 1
in: 210 171 49
out: 0 1 0
in: 187 135 229
out: 0 0 1
in: 34 166 75
out: 0 1 0
in: 115 229 48
out: 0 1 0
in: 189 6 171
out: 1 0 0
in: 2 225 66
out: 0 1 0
in: 180 67 117
out: 1 0 0
in: 90 229 193
out: 0 1 0
in: 210 79 122
out: 1 0 0
in: 53 193 183
out: 0 1 0
in: 15 109 114
out: 0 0 1
in: 21 171 187
out: 0 0 1
in: 80 128 162
out: 0 0 1
in: 237 100 220
out: 0 0 1
in: 227 186 68
out: 0 1 0
in: 130 146 217
out: 0 0 1
in: 134 38 247
out: 0 0 1
in: 82 72 82
out: 0 0 1
in: 87 183 237
out: 0 0 1
in: 42 131 18
out: 0 1 0
in: 211 7 116
out: 1 0 0
in: 70 186 114
out: 0 1 0
in: 185 108 100
out: 1 0 0
in: 138 65 92
out: 1 0 0
in: 41 20 61
out: 0 0 1
in: 249 242 225
out: 0 1 0
in: 224 170 29
out: 0 1 0
in: 219 180 128
out: 0 1 0
in: 149 113 20
out: 0 1 0
in: 19 11 3
out: 1 0 0
in: 137 192 110
out: 0 1 0
in: 226 130 181
out: 1 0 0
in: 6 186 32
out: 0 1 0
in: 21 10 26
out: 0 0 1
in: 144 153 126
out: 0 1 0
in: 245 183 143
out: 0 1 0
in: 105 134 121
out: 0 1 0
in: 29 166 29
out: 0 1 0
in: 252 221 7
out: 0 1 0
in: 121 214 113
out: 0 1 0
in: 173 149 72
out: 0 1 0
in: 76 236 227
out: 0 1 0
in: 31 136 1
out: 0 1 0
in: 48 123 243
out: 0 0 1
in: 238 6 180
out: 1 0 0
in: 89 99 223
out: 0 0 1
in: 11 163 31
out: 0 1 0
in: 141 114 248
out: 0 0 1
in: 42 121 217
out: 0 0 1
in: 62 150 166
out: 0 0 1
in: 19 206 217
out: 0 0 1
in: 180 32 168
out: 0 0 1
in: 140 151 49
out: 0 1 0
in: 189 176 165
out: 0 1 0
in: 117 235 153
out: 0 1 0
in: 28 220 121
out: 0 1 0
in: 223 217 108
out: 0 1 0
in: 62 221 21
out: 0 1 0
in: 185 221 158
